Codigo;ID_Zona;Latitud;Longitud
PH000077;6400157;10.37536831;-75.48550615
PH000144;6400159;10.28153527;-75.51349875
PH000237;6400154;10.40879062;-75.49556986
PH000629;6400158;10.37865989;-75.46828399
PH000653;6400156;10.38391955;-75.4640197
PH000716;6400157;10.3769254;-75.48294701
PH000723;6400154;10.38352876;-75.48399277
PH000909;6400156;10.4018145;-75.50230153
PH001143;6400162;10.38346907;-75.49323231
PH001173;6400153;10.37020791;-75.48325912
PH001313;6400153;10.3975186;-75.56289598
PH001316;6400153;10.39676843;-75.56357917
PH001449;6400162;10.43111834;-75.53663033
PH001495;6400161;10.39073879;-75.50928321
PH001576;6400158;10.39388369;-75.50054215
PH001593;6400156;10.39899729;-75.50048534
PH001594;6400158;10.39658755;-75.50270257
PH001633;6400162;10.3844973;-75.50266789
PH001660;6400162;10.37829634;-75.49227778
PH001739;6400157;10.37228305;-75.48597396
PH001807;6400162;10.25032665;-75.3467078
PH001850;6400153;10.25807401;-75.35198662
PH001994;6400158;10.38969997;-75.45274872
PH002076;6400153;10.37027189;-75.48312236
PH002082;6400157;10.36988656;-75.48488226
PH002188;6400156;10.35575002;-75.49106788
PH002215;6400162;10.25401895;-75.3473152
PH002516;6400161;10.37293911;-75.4756397
PH002545;6400154;10.38263552;-75.48428213
PH002743;6400161;10.40273593;-75.51464479
PH002750;6400157;10.38727491;-75.52465357
PH002751;6400157;10.40477875;-75.516937
PH002855;6400156;10.40172341;-75.50352703
PH002895;6400153;10.4158051;-75.53905717
PH003211;6400157;10.39922005;-75.52035481
PH003226;6400157;10.39061075;-75.52337706
PH003652;6400157;10.39969604;-75.47086483
PH003698;6400162;10.41134228;-75.46029512
PH003701;6400157;10.41024327;-75.46400964
PH003809;6400156;10.38870476;-75.45969479
PH003837;6400162;10.532307;-75.39439091
PH003844;6400162;10.52795122;-75.39178945
PH003857;6400156;10.60436096;-75.29096165
PH003869;6400162;10.37849415;-75.49702494
PH003871;6400153;10.41243771;-75.51776259
PH003881;6400162;10.37715381;-75.49764835
PH003888;6400153;10.4151122;-75.51419792
PH003910;6400153;10.4144728;-75.52110835
PH003936;6400158;10.49395881;-75.12005366
PH003952;6400157;10.60691621;-75.14452418
PH004052;6400154;10.38794225;-75.48552666
PH004062;6400159;10.40779012;-75.45494714
PH000108;6400159;10.28538622;-75.5190539
PH000423;6400157;10.40197277;-75.48405383
PH000540;6400159;10.40564699;-75.47185798
PH000654;6400156;10.38351814;-75.46374386
PH000724;6400154;10.39140061;-75.48370336
PH000733;6400154;10.3874078;-75.48279303
PH000742;6400156;10.39502673;-75.49297335
PH000890;6400156;10.4028274;-75.49730862
PH000906;6400158;10.3973854;-75.50329893
PH001018;6400162;10.38740409;-75.49387601
PH001319;6400153;10.39423585;-75.56200683
PH001388;6400162;10.42540243;-75.53803191
PH001466;6400158;10.43569194;-75.51563013
PH001612;6400162;10.38646188;-75.50053058
PH001613;6400162;10.38581001;-75.49897899
PH001662;6400158;10.3869075;-75.50454789
PH001668;6400158;10.38534665;-75.50575834
PH001697;6400154;10.37333941;-75.49852264
PH000034;6400161;10.37610058;-75.47618486
PH000061;6400157;10.37724641;-75.48329209
PH000075;6400157;10.37719553;-75.48562063
PH000131;6400159;10.28994567;-75.51717148
PH000275;6400159;10.40875169;-75.48941123
PH000429;6400153;10.3877922;-75.47057871
PH000535;6400159;10.40317018;-75.4724667
PH000740;6400156;10.39191443;-75.4884439
PH000933;6400162;10.3858529;-75.49140848
PH001021;6400162;10.38593948;-75.49392524
PH001027;6400162;10.38818769;-75.4902794
PH001034;6400162;10.38760247;-75.49227282
PH001191;6400154;10.38608847;-75.47949159
PH001321;6400153;10.39415538;-75.5608803
PH001389;6400159;10.42415204;-75.53709079
PH001423;6400162;10.43120326;-75.53107203
PH001433;6400162;10.43316796;-75.53195634
PH001614;6400162;10.38492715;-75.4995575
PH001708;6400157;10.37285409;-75.48457333
PH001743;6400157;10.37239076;-75.48780085
PH001745;6400157;10.37449601;-75.48710198
PH001776;6400162;10.41319489;-75.45534386
PH001777;6400162;10.41381488;-75.45565805
PH001825;6400153;10.26069356;-75.35127179
PH001998;6400158;10.38854678;-75.45339608
PH002042;6400156;10.38547575;-75.45889199
PH002092;6400153;10.36876851;-75.48183594
PH002550;6400154;10.3825279;-75.48589614
PH002656;6400153;10.41564685;-75.51998266
PH002762;6400161;10.40407091;-75.51264763
PH002770;6400159;10.40699834;-75.5132963
PH002950;6400161;10.47932593;-75.49176179
PH003022;6400161;10.44108263;-75.51703549
PH003152;6400153;10.41163737;-75.5156038
PH003288;6400161;10.39455108;-75.5125481
PH003293;6400161;10.39447019;-75.5132964
PH001620;6400162;10.3836221;-75.50486639
PH001665;6400158;10.38634241;-75.50673484
PH001829;6400158;10.24877975;-75.35446169
PH001993;6400158;10.38924148;-75.45414441
PH002040;6400156;10.38729725;-75.45733824
PH002074;6400157;10.3714624;-75.48208183
PH002084;6400153;10.3682658;-75.48286135
PH002131;6400154;10.37101609;-75.50746346
PH002485;6400161;10.377964;-75.47327458
PH002585;6400153;10.4186139;-75.51800215
PH002598;6400158;10.42351556;-75.51712134
PH002724;6400159;10.40476033;-75.51377806
PH002746;6400157;10.40564923;-75.51847567
PH002752;6400159;10.40520546;-75.5164235
PH002949;6400161;10.47375837;-75.49545072
PH002998;6400161;10.44405963;-75.51983041
PH003020;6400158;10.43434523;-75.51843793
PH003034;6400161;10.44012801;-75.51792834
PH004066;6400162;10.41341098;-75.46222776
PH004074;6400162;10.41038082;-75.45751857
PH004100;6400158;10.44703607;-75.2694257
PH004166;6400161;10.39611575;-75.15154
PH004184;6400161;10.39592437;-75.15102495
PH004189;6400161;10.39507038;-75.50888348
PH004228;6400161;10.37181702;-75.47885176
PH004242;6400158;10.38265665;-75.4733394
PH004334;6400154;10.41127481;-75.4975716
PH004345;6400156;10.40719326;-75.49684793
PH004377;6400158;10.38826642;-75.50617834
PH004417;6400156;10.40207723;-75.50292041
PH004429;6400158;10.39595208;-75.50282049
PH004435;6400153;10.25889158;-75.33733964
PH004459;6400161;10.48012726;-75.49289651
PH004460;6400161;10.47817004;-75.49226647
PH004462;6400159;10.42438509;-75.53760586
PH004496;6400158;10.39593664;-75.50028743
PH003078;6400161;10.44131573;-75.51946028
PH003225;6400157;10.39224565;-75.5235225
PH003630;6400159;10.39870232;-75.47864891
PH003704;6400162;10.40673569;-75.45652291
